,precision,recall,f1-score,support
No Churn,0.8360263315380012,0.9001288659793815,0.8668941979522184,1552.0
Churn,0.6493212669683258,0.5115864527629234,0.5722831505483549,561.0
accuracy,0.7969711310932324,0.7969711310932324,0.7969711310932324,0.7969711310932324
macro avg,0.7426737992531636,0.7058576593711524,0.7195886742502866,2113.0
weighted avg,0.7864562694350253,0.7969711310932324,0.7886751740082679,2113.0
