Feature,Importance
tenure,0.10210714619961457
TotalCharges,0.09666303597923244
MonthlyCharges,0.08166219261630323
InternetService_Fiber optic,0.028950839628732985
PaymentMethod_Electronic check,0.023853053173528736
Contract_Two year,0.023170665688728873
OnlineSecurity_Yes,0.02049551681121422
TechSupport_Yes,0.019001050705906634
PaperlessBilling_Yes,0.018043192758855846
Contract_One year,0.01738872591522154
gender_Male,0.015581638410768215
OnlineBackup_Yes,0.014341007937232482
Partner_Yes,0.014053946116723386
SeniorCitizen,0.013211301179437022
DeviceProtection_Yes,0.012885633152923959
Dependents_Yes,0.012744698147222136
MultipleLines_Yes,0.01226245368207509
StreamingMovies_Yes,0.011186205502447621
StreamingTV_Yes,0.01067466283711366
PaymentMethod_Credit card (automatic),0.01041920254154086
PaymentMethod_Mailed check,0.00799081051275062
DeviceProtection_No internet service,0.007252910929356191
TechSupport_No internet service,0.006206498325573383
StreamingTV_No internet service,0.006155688073419044
InternetService_No,0.005773176492093092
OnlineSecurity_No internet service,0.0056269320916742995
StreamingMovies_No internet service,0.004762521232714064
OnlineBackup_No internet service,0.004046520732776115
MultipleLines_No phone service,0.003460885926594176
PhoneService_Yes,0.0031155419111926143
customerID_4083-EUGRJ,0.00048046928353085973
customerID_4488-PSYCG,0.0004745514159601543
customerID_4541-RMRLG,0.0004535480957963267
customerID_0607-DAAHE,0.00045218159224584705
customerID_5542-TBBWB,0.00045008160079767606
customerID_6323-AYBRX,0.00044665211488821674
customerID_6861-OKBCE,0.00044428600336975246
customerID_6776-TLWOI,0.00044324227240610006
customerID_4195-SMMNX,0.0004392848016177369
customerID_1449-XQEMT,0.00043865454503028037
customerID_0031-PVLZI,0.00043805543590647625
customerID_1383-EZRWL,0.00043688766693794726
customerID_7812-FZHPE,0.00043258356091560574
customerID_4140-WJAWW,0.00042831816877528776
customerID_4745-LSPLO,0.00042193032194908685
customerID_1555-DJEQW,0.0004173350041221755
customerID_5687-DKDTV,0.0004149438185429314
customerID_4597-ELFTS,0.0004098653000350488
customerID_4464-JCOLN,0.0004087605492272152
customerID_2839-RFSQE,0.00040277766229472725
customerID_0278-YXOOG,0.0004016643505217014
customerID_6141-OOXUQ,0.00040124525692466226
customerID_1038-ZAGBI,0.00039713676056984373
customerID_1009-IRMNA,0.00039617737139480797
customerID_0137-UDEUO,0.00039508002688073534
customerID_7434-SHXLS,0.00039344539687454215
customerID_6532-YLWSI,0.0003913020627598411
customerID_4786-UKSNZ,0.0003912755900137509
customerID_2484-DGXPZ,0.00039117667320131915
customerID_4892-VLANZ,0.0003873364561894197
customerID_1577-HKTFG,0.0003861512949117423
customerID_0516-VRYBW,0.00038178941401744777
customerID_6849-WLEYG,0.00038118281450538353
customerID_7439-DKZTW,0.0003794780223873822
customerID_1043-YCUTE,0.0003749618197803537
customerID_9025-ZRPVR,0.0003734282434880692
customerID_4877-EVATK,0.0003685694147911846
customerID_3900-AQPHZ,0.0003685388425441117
customerID_1066-JKSGK,0.0003677397492754581
customerID_2223-KAGMX,0.00036672212641414547
customerID_8329-IBCTI,0.00036455726489780573
