,precision,recall,f1-score,support
No Churn,0.8327380952380953,0.9014175257731959,0.8657178217821783,1552.0
Churn,0.6466512702078522,0.49910873440285203,0.5633802816901409,561.0
accuracy,0.7946048272598202,0.7946048272598202,0.7946048272598202,0.7946048272598202
macro avg,0.7396946827229738,0.700263130088024,0.7145490517361596,2113.0
weighted avg,0.7833321752939558,0.7946048272598202,0.7854474195144864,2113.0
