Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8088026502602934,0.6666666666666666,0.5597147950089126,0.6085271317829457
Gradient Boosting,0.7969711310932324,0.6493212669683258,0.5115864527629234,0.5722831505483549
Random Forest,0.7946048272598202,0.6466512702078522,0.49910873440285203,0.5633802816901409
