,precision,recall,f1-score,support
No Churn,0.8495736906211937,0.898840206185567,0.873512836568566,1552.0
Churn,0.6666666666666666,0.5597147950089126,0.6085271317829457,561.0
accuracy,0.8088026502602934,0.8088026502602934,0.8088026502602934,0.8088026502602934
macro avg,0.7581201786439302,0.7292775005972398,0.7410199841757559,2113.0
weighted avg,0.8010120056053444,0.8088026502602934,0.8031593200589906,2113.0
